feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Marinococcus	Without_combined	MS2	0.687909632736963	0.0938977580845835	77	77	1.3900569047443e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfobacula	Without_combined	MS2	0.68392603203434	0.0923550797029631	77	77	1.09326117381235e-08	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanomicrobiaceae.g__Methanoculleus	Without_combined	MS2	0.690150902482829	0.0951078355214679	77	77	1.71193525679381e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Spongiibacteraceae.g__Dasania	Without_combined	MS2	0.677026575262712	0.0900274502651605	77	77	7.86667703239994e-09	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Thermincola	Without_combined	MS2	0.703807921472494	0.0920082888913676	77	77	7.1309106759666e-09	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Shuttleworthia	Without_combined	MS2	0.682743360530099	0.091454575350753	77	77	1.01111861466828e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Methylovorus	Without_combined	MS2	0.701314257199859	0.0939280648469044	77	77	1.06985946415249e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Thalassobium	Without_combined	MS2	0.685440441693206	0.0942189709224733	77	77	1.58590769369356e-08	1.61926282759292e-07
k__Bacteria.p__Chloroflexi.c__Thermomicrobia.o__Thermomicrobiales.f__Thermomicrobiaceae.g__Thermomicrobium	Without_combined	MS2	0.686749061124435	0.0935675997823684	77	77	1.33054199181989e-08	1.61926282759292e-07
k__Bacteria.p__Aquificae.c__Aquificae.o__Aquificales.f__Aquificaceae.g__Thermocrinis	Without_combined	MS2	0.693478639057227	0.0945270041620827	77	77	1.40108667913281e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Arhodomonas	Without_combined	MS2	1.10853453823364	0.12498862417268	77	76	1.33273135451913e-10	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanomicrobiaceae.g__Methanofollis	Without_combined	MS2	0.688590083359287	0.0948624238750538	77	77	1.68598763767428e-08	1.61926282759292e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.g__Hoyosella	Without_combined	MS2	0.693541623385871	0.0954390509773516	77	77	1.69952323121924e-08	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Mesonia	Without_combined	MS2	0.686431697423743	0.0930020978052471	77	77	1.18445628731428e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Basfia	Without_combined	MS2	0.681570594722635	0.0933083396558933	77	77	1.43628659699388e-08	1.61926282759292e-07
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Candidatus_Atelocyanobacterium	Without_combined	MS2	0.684177929593277	0.0926143131928733	77	77	1.15047521862058e-08	1.61926282759292e-07
