feature,coef_without.x,qval_without.x,coef_likely.x,qval_likely.x,coef_PC.x,qval_PC.x,coef_putative.x,qval_putative.x,coef_without.y,qval_without.y,coef_likely.y,qval_likely.y,coef_PC.y,qval_PC.y,coef_putative.y,qval_putative.y,coef_without.x,qval_without.x,coef_likely.x,qval_likely.x,coef_PC.x,qval_PC.x,coef_putative.x,qval_putative.x,coef_without.y,qval_without.y,coef_likely.y,qval_likely.y,coef_PC.y,qval_PC.y,coef_putative.y,qval_putative.y,avg.coef,avg.qval,log.avg.qval,class
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio,-0.692417209018643,9.159161694684947e-4,-0.5331214535362813,0.0209206165429952,-0.7281058977526879,3.340882830351957e-4,-0.6710253895370565,7.949722508099403e-4,-0.7660076882427597,0.001808548693801474,-0.5291084908587204,0.03835312432169881,-0.7604141505656011,3.9617354198842256e-4,-0.7251454080239786,0.0010584135343853435,-0.5322569081963509,0.008725223970241565,-0.4408605400623136,0.03955253020127823,-0.542547791694241,0.002869938665671787,-0.5468206713220096,0.0036702201815278887,-0.5948609782593565,0.001737620171763492,-0.41377188844751983,0.03101312245619069,-0.6082619862186666,3.393292032708413e-4,-0.5520441164474026,0.0018398737071656337,-0.6022981605114743,0.009645606993455813,4.641252701120401,Not
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter,-0.6808946405158708,0.0025030590572457305,-0.4400638216322904,0.031224077656846885,-0.5970071710232782,0.0037037817823915783,-0.6319659144918135,0.0020339635409651006,-0.7249081858207057,3.9114829630520185e-4,-0.44168879738276334,0.030587319451345706,-0.6476866806523185,0.0017694922871909964,-0.6944583480312132,0.001194151720752527,-0.5113925226940235,0.001832936096531736,-0.36021137722177743,0.02998721440241318,-0.4332029389012801,0.00942047161220651,-0.5246471521860615,0.0014225595735362234,-0.5949398914884768,6.874374906417132e-4,-0.3733012704698045,0.03189276330118724,-0.5161360320102935,0.0034956509398355847,-0.5393503201645193,0.002310492203795647,-0.5444909415429057,0.009653532463324472,4.6404313722386705,Not
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides,-0.5150391101153089,0.003169510151050582,-0.39915035148582484,0.01800859012205934,-0.5014662391366865,0.00371531698705582,-0.4273327195633048,0.019784245870516158,-0.5767419173415888,8.666897093213186e-4,-0.39981830323047524,0.017599230506280355,-0.5515417511481417,0.0014797348743503492,-0.48971554236199916,0.006159294812097136,-0.3743875688186277,0.007044510727456721,-0.32256345581974777,0.01664198915588317,-0.32243248665593116,0.022144275245054176,-0.31052336331889796,0.03152742007582456,-0.4439110543280287,0.002167005735393168,-0.32894853244572336,0.018031653208397464,-0.420948509745523,0.003744947120929666,-0.3170917001670391,0.03261322382248014,-0.41885078785517804,0.012793602382759383,4.358810046852065,Not
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Kibdelosporangium,0.41369321106569384,0.02547306651912223,0.3727943122573555,0.04220155317791537,0.3693024414216348,0.03127503729005724,0.34877642940312387,0.0439104625879716,0.3803234960316495,0.02813532244534043,0.4269604822223741,0.009092776155499933,0.35300808887449886,0.03182811303570591,0.33156806234771413,0.049371413513099864,0.6068278356943668,7.949081016774981e-4,0.5228856623546125,0.004694907933484499,0.5588168954665151,0.0011921439194557887,0.4856681967265231,0.007553839280096931,0.511484750589397,0.005025196319874924,0.5013644215269611,0.005002055768454913,0.4743956549676259,0.006025549198300148,0.4773645052380894,0.006791540950307848,0.4459521528867585,0.01864799288727282,3.9820167586691304,Not
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.g__Pseudohongiella,0.4153635798811117,0.01442149105849605,0.3988926146547147,0.01579268087492616,0.3613075747225118,0.026712127701911097,0.3456625806109234,0.037946284291655766,0.3856014284800246,0.011223304516314652,0.46136057772410793,0.004573176886696243,0.3370902025067545,0.02118944247173433,0.31177612426224977,0.037112754232026854,0.629233972841089,5.448670148548029e-4,0.5573389695812742,4.0893385177140644e-4,0.5543391223798219,7.657530420549168e-4,0.4808982317513557,0.005499182374263952,0.5264553195951143,0.002044832453233082,0.5392532480061214,3.1410461592277047e-4,0.46646991827825657,0.003933524603270475,0.4657089497135448,0.004194496496760337,0.452297025936811,0.011667309780368305,4.450964383648538,Not
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Sharpea,0.44375667659459495,0.014073084560274242,0.4056044454179629,0.023541362499489904,0.3962405518532113,0.02355587376558475,0.3743692299770306,0.033802061773789596,0.42139951994371394,0.012934825087940251,0.462725949946779,0.0015198638724736012,0.36583868489946963,0.023574187693976265,0.34606349746485743,0.035309167228121316,0.654789206810832,2.07974195629084e-4,0.556389488808486,0.001217041448749569,0.5817880098493045,0.0010666983626056873,0.5141730817852166,0.005695544840894254,0.556519599255835,0.0021418604359149836,0.5320046302090846,7.230659331147776e-4,0.4886182516550907,0.003628689685177978,0.490606546178497,0.003589200271496526,0.4744304606656229,0.01166128135345205,4.451481211005651,Not
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Thiotrichaceae.g__Beggiatoa,0.4776335213663014,0.003235475763623137,0.4597623436588959,0.0017796468485882205,0.424662756552148,0.011054667527901537,0.419501759216437,0.009749856368631593,0.40868884774177877,0.010371170567708617,0.4538648765846206,0.0011583519218935922,0.3539211221368931,0.030970215354011066,0.36361466290913597,0.021471358791221546,0.60686870624306,3.0225199711598604e-4,0.5411050949224514,6.016970814984597e-4,0.5600377600478313,0.001308195585985382,0.5171656361985799,0.0025567356777309856,0.5499351066994062,6.551732943344994e-4,0.5321549598667241,2.6953502744582627e-4,0.5280050542202266,0.001290597596795907,0.5103759106374848,0.0012528769428828844,0.48170613243762345,0.0061267378967105775,5.095092824558966,Not
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Alphacoronavirus,0.4495170528761461,0.010501001514462071,0.42147560614826735,0.014134875789472883,0.40535972185494445,0.019070610601400858,0.39876694420078385,0.02166185155043577,0.4167266621815097,0.008208388500300154,0.4799014800692659,0.0025329068232982054,0.37657277067588873,0.012462800471989074,0.3570304483933333,0.019513348165650705,0.6609596920555724,4.51563496124797e-4,0.5860953399936619,4.4537692127840484e-4,0.5930493023177431,5.746371942252464e-4,0.5215408697495002,0.0038699563493039824,0.555867462493864,0.001498008487762424,0.5621354396095728,0.003310576482661382,0.5048400890917347,0.002311840467251841,0.5107865259090257,0.0021571465582774785,0.4875390879763009,0.007669055585868455,4.870561802100966,Not
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Melissococcus,0.4552867495817741,0.01082839261970665,0.4487118968399401,0.012206404092020319,0.41504111960478873,0.017064403758548823,0.3875776297141464,0.02703649310346344,0.42798940569117094,0.00775246249371783,0.4819921058426549,3.232173184459305e-4,0.37236500332619865,0.015207226996642807,0.3519601149507712,0.023610838832701667,0.6625048479075394,1.1994891679180915e-4,0.5730097438898923,5.904768242168822e-4,0.5900300018654298,7.125346882549307e-4,0.5194505810058853,0.004367457453196991,0.5707161443331544,0.0018511300506655747,0.5556502472221202,3.0875460708724707e-4,0.5014122363927519,0.0028120752062241183,0.5068520429290729,0.0025661763280926046,0.4887843669435807,0.007959874580611101,4.833342035454611,Not
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Betacoronavirus,0.45983323920128655,0.012177613308169022,0.46107727852984925,0.015241754092178999,0.41956573890107113,0.019070610601400858,0.38848905103359693,0.0310837304064805,0.441836119583556,0.011409548239230417,0.47963687539071564,9.49072771273244e-4,0.378531281050267,0.021020738440843605,0.35950021547128475,0.031051002885185777,0.6610958332440509,3.056429604271371e-4,0.5712253993719192,0.0012687209918390533,0.5978269492911484,0.0012905516532402362,0.5312720858426597,0.006305935897049874,0.5721796495327129,0.0020098696663408237,0.5513583929934344,2.787451340678074e-4,0.4980482273081222,0.002704517671072353,0.5034470366711817,0.0024890007168098024,0.49218271083855353,0.009916065964725594,4.613599012479001,Not
