"","p__Acidobacteria","p__Actinobacteria","p__Aquificae","p__Armatimonadetes","p__Artverviricota","p__Atribacterota","p__Bacteroidetes","p__Balneolaeota","p__Caldiserica","p__Calditrichaeota","p__Candidatus_Absconditabacteria","p__Candidatus_Bipolaricaulota","p__Candidatus_Cloacimonetes","p__Candidatus_Korarchaeota","p__Candidatus_Lokiarchaeota","p__Candidatus_Micrarchaeota","p__Candidatus_Nanohaloarchaeota","p__Candidatus_Omnitrophica","p__Candidatus_Saccharibacteria","p__Candidatus_Thermoplasmatota","p__Chlamydiae","p__Chlorobi","p__Chloroflexi","p__Chrysiogenetes","p__Coprothermobacterota","p__Cossaviricota","p__Crenarchaeota","p__Cyanobacteria","p__Deferribacteres","p__Deinococcus-Thermus","p__Dictyoglomi","p__Elusimicrobia","p__Euryarchaeota","p__Fibrobacteres","p__Firmicutes","p__Fusobacteria","p__Gemmatimonadetes","p__Hofneiviricota","p__Ignavibacteriae","p__Kiritimatiellaeota","p__Kitrinoviricota","p__Lenarviricota","p__Negarnaviricota","p__Nitrospirae","p__Nucleocytoviricota","p__Peploviricota","p__Phixviricota","p__Pisuviricota","p__Planctomycetes","p__Preplasmiviricota","p__Proteobacteria","p__Spirochaetes","p__Synergistetes","p__Tenericutes","p__Thaumarchaeota","p__Thermodesulfobacteria","p__Thermotogae","p__un_k__Bacteria","p__Uroviricota","p__Verrucomicrobia","cancertype"
"TCGA-QT-A5XP-01A",0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SR-A6MZ-01A",0,1202,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,9238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34559,0,0,0,11,0,0,0,0,0,"PCPG"
"TCGA-SR-A6MX-01A",0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3787,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A81R-01A",0,630,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,38627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50206,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A80K-01A",0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A67V-01A",0,650,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52468,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QT-A5XM-01A",0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A81V-01A",0,8397,0,0,0,0,70,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,34,0,34043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241612,0,0,0,19,0,0,0,0,0,"PCPG"
"TCGA-S7-A7WR-01A",0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51987,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A705-01A",0,359,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6888,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-P7-A5NX-01A",0,111,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29147,0,0,0,10,0,0,0,0,0,"PCPG"
"TCGA-WB-A81M-01A",0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,38949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A814-01A",0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54634,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A81S-01A",0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75369,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A68A-01A",0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A689-01A",0,548,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41250,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A6GT-01A",0,2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,12497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A700-01A",0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34248,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-P8-A5KD-01A",0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6972,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-W2-A7HD-01A",0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,12573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1895,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A80M-01A",0,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62868,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A6H2-01A",0,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,13769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SP-A6QG-01A",0,397,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66462,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A70K-01A",0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13984,0,0,0,0,0,0,0,0,0,"PCPG"
