feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.f__Narnaviridae.g__Narnavirus	Without_combined	MS2	0.630492720055169	0.0953646281538781	77	77	1.3327424380448e-07	1.79651991218501e-06
k__Viruses.f__Totiviridae.g__Totivirus	Without_combined	MS2	0.629586052525419	0.0953578628763269	77	77	1.37839582664602e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Chilikevirus	Without_combined	MS2	0.629722582781346	0.0953385583163064	77	77	1.34833514243919e-07	1.79651991218501e-06
k__Viruses.f__Potyviridae.g__Tritimovirus	Without_combined	MS2	0.629550093632362	0.0953629563294113	77	77	1.38015588708762e-07	1.79651991218501e-06
k__Viroids.f__Pospiviroidae.g__Coleviroid	Without_combined	MS2	0.629608137568106	0.0953247152148066	77	77	1.37056688219014e-07	1.79651991218501e-06
k__Viruses.f__Papillomaviridae.g__Dyopipapillomavirus	Without_combined	MS2	0.62974166686707	0.095304969387622	77	77	1.36052492983609e-07	1.79651991218501e-06
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Neosynechococcus	Without_combined	MS2	0.630870430191101	0.0931127582101173	77	77	8.95961082164139e-08	1.79651991218501e-06
k__Bacteria.p__Cyanobacteria.o__Nostocales.f__Nostocaceae.g__Dolichospermum	Without_combined	MS2	0.632541576080609	0.0942942996866766	77	10	1.06317341595359e-07	1.79651991218501e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Altibacter	Without_combined	MS2	0.630453573477747	0.0938892724446528	77	70	1.06769438274544e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Candidatus_Methanomethylophilus	Without_combined	MS2	0.629792606623412	0.0943960418989687	77	77	1.15947251114906e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Mangrovibacter	Without_combined	MS2	0.631718071821828	0.0936534314168619	77	77	1.03250767248038e-07	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter	Without_combined	MS2	0.632911052471805	0.0929099868445943	77	77	9.27353940545077e-08	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Natronomonas	Without_combined	MS2	0.633503974242749	0.095924761065253	77	77	1.38608887657363e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfospira	Without_combined	MS2	0.631617798917645	0.0934967957883046	77	75	1.00549051270288e-07	1.79651991218501e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Arenitalea	Without_combined	MS2	0.631144966118265	0.0927114298724351	77	58	8.34911488709562e-08	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Thermoactinomycetaceae.g__Shimazuella	Without_combined	MS2	0.630540704985893	0.0931397533575887	77	72	9.05158596639551e-08	1.79651991218501e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Gaetbulibacter	Without_combined	MS2	0.631906316662608	0.0941333985135975	77	72	1.11879308089051e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Basilea	Without_combined	MS2	0.632445859063695	0.0933571670086828	77	77	9.09774626129366e-08	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Effusibacillus	Without_combined	MS2	0.632011363802557	0.0937125812011718	77	77	9.71893371727614e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Chitinibacter	Without_combined	MS2	0.633534045345306	0.0929948210419847	77	75	1.42671667782383e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanoregulaceae.g__Methanolinea	Without_combined	MS2	0.631458555215422	0.0957580608270388	77	77	1.40094394918956e-07	1.79651991218501e-06
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Myxosarcina	Without_combined	MS2	0.633999158132658	0.0926643629609409	77	72	9.05586715080282e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Gayadomonas	Without_combined	MS2	0.631252573186118	0.0937034398710456	77	75	9.83058366792131e-08	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Jeotgalibacillus	Without_combined	MS2	0.631317019559652	0.0950882612870141	77	26	1.24842813039921e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Halobellus	Without_combined	MS2	0.633950523238171	0.0944752308727906	77	77	1.07125315361331e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Archaeoglobi.o__Archaeoglobales.f__Archaeoglobaceae.g__Ferroglobus	Without_combined	MS2	0.635710265018611	0.0940843147393077	77	16	1.13638059128472e-07	1.79651991218501e-06
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Olivibacter	Without_combined	MS2	0.630571723553156	0.0941951794443928	77	67	1.12455040624357e-07	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Sediminibacillus	Without_combined	MS2	0.630147114506129	0.0950813875721102	77	77	1.311394934169e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanohalobium	Without_combined	MS2	0.630312991620002	0.0946377442551478	77	75	1.21241019790802e-07	1.79651991218501e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Robiginitalea	Without_combined	MS2	0.633017717460124	0.0935589969665015	77	77	9.3220128876254e-08	1.79651991218501e-06
k__Bacteria.p__Thermodesulfobacteria.c__Thermodesulfobacteria.o__Thermodesulfobacteriales.f__Thermodesulfobacteriaceae.g__Caldimicrobium	Without_combined	MS2	0.633957455120199	0.0918126764042474	77	46	8.03709594645159e-08	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae.g__Centipeda	Without_combined	MS2	0.640974414903813	0.0897594568546529	77	76	7.814470912948e-08	1.79651991218501e-06
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Allosalinactinospora	Without_combined	MS2	0.63511848604581	0.0944278037550303	77	77	1.04434219771088e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Halogranum	Without_combined	MS2	0.63123432317977	0.0952313377219358	77	77	1.28211548153577e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Nautiliales.f__Nautiliaceae.g__Nautilia	Without_combined	MS2	0.634298858867342	0.0935867461516933	77	15	1.04234264602095e-07	1.79651991218501e-06
k__Bacteria.p__Aquificae.c__Aquificae.o__Desulfurobacteriales.f__Desulfurobacteriaceae.g__Thermovibrio	Without_combined	MS2	0.633570513518309	0.0931704828937923	77	77	9.71741917071161e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Aliiroseovarius	Without_combined	MS2	0.63583674502449	0.0949060785788818	77	77	1.11967203844621e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halobacterium	Without_combined	MS2	0.635805397144689	0.096306991937436	77	77	1.42168328515002e-07	1.79651991218501e-06
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Candidatus_Nitrosoarchaeum	Without_combined	MS2	0.632508112823507	0.0948842984274331	77	75	1.17757164193584e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Wolinella	Without_combined	MS2	0.638190611950563	0.0952730973548131	77	77	1.15400839850019e-07	1.79651991218501e-06
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus	Without_combined	MS2	0.636408805646621	0.095257658136457	77	69	1.17795652515934e-07	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Marinococcus	Without_combined	MS2	0.629994316805382	0.0941963025378942	77	77	1.12340461788472e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfobacula	Without_combined	MS2	0.632784355915278	0.0920579740653248	77	19	8.16097238142846e-08	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanomicrobiaceae.g__Methanoculleus	Without_combined	MS2	0.630083588524765	0.0956376900144969	77	77	1.41133873751358e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Methylovorus	Without_combined	MS2	0.639465367700575	0.0946520623358014	77	77	1.03372181653598e-07	1.79651991218501e-06
k__Bacteria.p__Chloroflexi.c__Thermomicrobia.o__Thermomicrobiales.f__Thermomicrobiaceae.g__Thermomicrobium	Without_combined	MS2	0.630827530225436	0.0937341718583431	77	77	1.04090954130517e-07	1.79651991218501e-06
k__Bacteria.p__Aquificae.c__Aquificae.o__Aquificales.f__Aquificaceae.g__Thermocrinis	Without_combined	MS2	0.632959455836061	0.0951075705154637	77	72	1.21410251652774e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Arhodomonas	Without_combined	MS2	1.02688361811162	0.133318196759837	77	3	3.90829308221699e-09	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanomicrobiaceae.g__Methanofollis	Without_combined	MS2	0.629626750829614	0.0953012320606674	77	77	1.36468708106818e-07	1.79651991218501e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Mesonia	Without_combined	MS2	0.631044256683781	0.0930690152860493	77	72	9.33658772507316e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Basfia	Without_combined	MS2	0.634060919046418	0.0928444398350469	77	77	9.30429497128942e-08	1.79651991218501e-06
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Candidatus_Atelocyanobacterium	Without_combined	MS2	0.632594843852303	0.0923881382894079	77	68	8.54022267528223e-08	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Without_combined	MS2	0.63315223590882	0.0954832513675706	77	77	1.29155608533489e-07	1.79651991218501e-06
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Coriobacterium	Without_combined	MS2	0.630735352155276	0.0940515800818646	77	77	1.05341008945955e-07	1.79651991218501e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Haloplanus	Without_combined	MS2	0.629504575805774	0.0951366202287372	77	77	1.30689924047528e-07	1.79651991218501e-06
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flagellimonas	Without_combined	MS2	0.634737657249822	0.0937158389073509	77	67	1.06710670345803e-07	1.79651991218501e-06
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Thermoproteales.f__Thermoproteaceae.g__Vulcanisaeta	Without_combined	MS2	0.634941741824456	0.0931809019658172	77	76	9.86760547095768e-08	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Spongiibacteraceae.g__Zhongshania	Without_combined	MS2	0.630722522843638	0.09384301297109	77	14	1.01651267912248e-07	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Rummeliibacillus	Without_combined	MS2	0.631984195244801	0.0953774449990141	77	77	1.29627614006567e-07	1.79651991218501e-06
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobulbaceae.g__Desulfurivibrio	Without_combined	MS2	0.630167229655678	0.0936446741004701	77	76	9.9274055245989e-08	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Salinibacillus	Without_combined	MS2	0.632238227067064	0.0933504649947055	77	75	9.87016269012205e-08	1.79651991218501e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Pseudobutyrivibrio	Without_combined	MS2	0.638025241597785	0.0907568491345504	77	77	7.70081985769597e-08	1.79651991218501e-06
k__Bacteria.p__Thermotogae.c__Thermotogae.o__Kosmotogales.f__Kosmotogaceae.g__Mesotoga	Without_combined	MS2	0.630723472485055	0.0926212025303603	77	77	8.30492041357818e-08	1.79651991218501e-06
