"","2031199_A5","B220819_C8","D15.01276.01","D18.02786.02","D19.01661.02","D20.00840.02","D21.00483.01","N181650.A7","N181650_A2","N190186.B1","N190393.A3","N191724.A2","N210403.B3","N211161.A4","N212541.A2","N220339.A4","X18.06732.02","X18.09852.02","X19.08326.02","Z0502927.A3","Z0520920.B3","Z0521061.B4","Z0521146.A2","Z0940919.A1","Z0952754.A2","a78804"
"Kapabacteriales",5,0,9,0,0,8,9,0,2,0,0,0,44,13,23,0,0,13,3,0,0,0,0,0,5,3
"Peredibacter",0,0,0,8,0,6,8,0,0,0,59,43,0,0,0,5,0,55,62,0,0,0,0,0,0,0
"Bdellovibrio",6,0,0,0,0,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OM27_clade",3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Calditrichaceae",3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter",0,0,7,0,17,12,8,0,0,0,0,0,17,0,27,0,0,7,14,0,0,0,0,0,2,0
"Helicobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,30,269,0,4,0,0,5
"Wolinella",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Rs-M59_termite_group",0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Chloroflexi_Anaerolineae_Anaerolineales_Anaerolineaceae_uncultured",7,0,0,0,0,0,0,0,5,0,0,0,0,89,214,0,0,0,0,0,0,0,0,0,45,0
"d__Bacteria_Chloroflexi_Anaerolineae_Ardenticatenales_uncultured_uncultured",2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBG-13-54-9",9,0,0,0,0,0,0,0,6,0,0,0,0,312,908,0,0,0,0,0,0,0,0,0,167,0
"A4b",0,0,0,0,0,0,0,0,0,0,0,0,0,183,386,0,0,0,0,0,0,0,0,0,94,0
"SBR1031",0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,15,0
"SJA-15",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Chloroflexi_Anaerolineae_uncultured_uncultured_uncultured",9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloroflexus",0,0,0,0,0,0,0,0,0,0,0,0,0,123,444,0,0,0,0,0,0,0,0,0,93,0
"Roseiflexus",0,0,0,0,0,0,0,0,0,0,0,0,0,112,267,0,0,0,0,0,0,0,0,0,38,0
"d__Bacteria_Chloroflexi_Chloroflexia_Chloroflexales_Roseiflexaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,3,0
"AKYG1722",2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JG30-KF-CM45",58,0,0,0,0,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0
"JG30-KF-CM66",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"KD4-96",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"B12-WMSP1",3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C0119",24,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OLB14",12,0,0,0,0,0,0,0,2,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,5,0
"Gloeocapsa_PCC-7428",0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0
"Calothrix_PCC-6303",0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,0,0,32,0
"Candidatus_Gloeomargarita",0,0,0,0,0,0,0,0,0,0,0,0,0,13,93,0,0,0,0,0,0,0,0,0,15,0
"d__Bacteria_Cyanobacteria_Cyanobacteriia_Eurycoccales_uncultured_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,80,861,0,0,0,0,0,0,0,0,0,139,0
"Greenland-10",0,0,0,0,0,0,0,0,0,0,0,0,0,82,243,0,0,0,0,0,0,0,0,0,48,0
"Geitlerinema_PCC-8501",0,0,0,0,0,0,0,0,0,0,0,0,0,191,377,0,0,0,0,0,0,0,0,0,133,0
