feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Candidatus_Photodesmus	Without_combined	MS2	0.748910410334791	0.0950078948109974	77	77	2.73237886276847e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfohalobiaceae.g__Desulfonatronospira	Without_combined	MS2	0.753935505499452	0.0910192299735772	77	77	1.01492769924009e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Paucisalibacillus	Without_combined	MS2	0.763799220759046	0.0960740658164844	77	10	2.9915236103834e-09	5.30089662600918e-08
k__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales.f__Synergistaceae.g__Cloacibacillus	Without_combined	MS2	0.758223779999176	0.0971262653924171	77	77	3.87081300412281e-09	5.30089662600918e-08
k__Archaea.p__Thaumarchaeota.g__Candidatus_Nitrosotenuis	Without_combined	MS2	0.762298773819376	0.0969371723153304	77	77	3.60803118425249e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum	Without_combined	MS2	0.758067939046849	0.0957231202641943	77	77	2.84727956294135e-09	5.30089662600918e-08
contaminant1Harvard	Without_combined	MS2	0.758769188140912	0.097208226609009	77	77	3.91975473458519e-09	5.30089662600918e-08
contaminant2HarvardCanadaBaylorWashU	Without_combined	MS2	0.758763327279876	0.097208658559291	77	77	3.9204499602043e-09	5.30089662600918e-08
contaminant3AllSeqCenters	Without_combined	MS2	0.758764742492031	0.0972095742905017	77	77	3.92120247848577e-09	5.30089662600918e-08
k__Viruses.f__Circoviridae.g__Gyrovirus	Without_combined	MS2	0.757851214220589	0.097345013057955	77	77	4.07596919080504e-09	5.3094490973017e-08
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Without_combined	MS2	0.761768328299496	0.0975379112916593	77	77	4.11295352607878e-09	5.3094490973017e-08
k__Viruses.f__Anelloviridae.g__Betatorquevirus	Without_combined	MS2	0.759598479471144	0.0973778794209998	77	77	4.0369675125582e-09	5.3094490973017e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	Without_combined	MS2	0.759406686783251	0.097624847047881	77	77	4.26563866143231e-09	5.45148620931049e-08
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Natronomonas	Without_combined	MS2	0.764609382316248	0.0979497555200766	77	77	4.43382172413301e-09	5.61032095390295e-08
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Litoreibacter	Without_combined	MS2	1.15675337238904	0.15128044575649	77	77	4.50565451641926e-09	5.64532007057236e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus	Without_combined	MS2	0.761845134126556	0.0980593878038723	77	77	4.59402684400726e-09	5.70016146275853e-08
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Pseudophaeobacter	Without_combined	MS2	0.777290551539837	0.0975394156864183	77	18	4.68176363122251e-09	5.75316723144459e-08
k__Viruses.f__Virgaviridae.g__Pecluvirus	Without_combined	MS2	0.756819187001406	0.0980651419992529	77	77	4.82586735248066e-09	5.87376997759075e-08
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanoregulaceae.g__Methanosphaerula	Without_combined	MS2	0.762393701661921	0.0985270624136202	77	27	5.05443406074686e-09	6.05181192717159e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Sellimonas	Without_combined	MS2	0.760938810821832	0.0984887267506961	77	77	5.06685349145039e-09	6.05181192717159e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Halolactibacillus	Without_combined	MS2	0.768536432581011	0.0987292243091784	77	77	5.20596064893607e-09	6.16038676790768e-08
